MachineID,Store Name,Address,City,Zip,Campus,Offers Delivery?,Accepts Meal Plans?,Status,SpecialAccess,Rating,PaymentMethod,RoomNumber,Long,Lat,ServiceProvidedWithPrice,Provider,Picture
22,Lincoln Tower,1800 Cannon Dr.,Columbus,43210,West Campus (Columbus),No,No,Normal,,,,,,,,,
23,Mack Hall,1698 Neil Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,,,,,,,,,
24,Mendoza House,194 W. Woodruff Ave.,Columbus,43210,North Campus (Columbus),No,No,Normal,,,,,,,,,
25,Morrill Tower,1900 Cannon Dr.,Columbus,43210,West Campus (Columbus),No,No,Normal,,,,,,,,,
26,Morrison Tower,196 W. 11th Ave.,Columbus,43210-1379,South Campus (Columbus),No,No,Normal,,,,,,,,,
27,Neil Building,1578 Neil Avenue,Columbus,43210,South Campus (Columbus),No,No,Normal,,,,,,,,,
28,Norton House,2114 Neil Ave.,Columbus,43210,North Campus (Columbus),No,No,Normal,,,,,,,,,
29,Nosker House,136 W. Woodruff Ave.,Columbus,43210,North Campus (Columbus),No,No,Normal,,,,,,,,,
,Park-Stradley Hall,120 W. 11th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,Cash/BuckID,181,"39.99578° N, 83.01033° W",,Drinks,"Various, Coca Cola",Picture
30,Park-Stradley Hall,120 W. 11th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,Cash,181,"39.99578° N, 83.01033° W",,Drinks,Coca Cola,Picture
31,Paterson Hall,191 W. 12th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,Cash/visa/Apple Pay/discover/mastercard/google pay/American Express,1st floor,"39.99642° N, 83.01244° W",,Drinks,"Various, Coca Cola",Picture
,Paterson Hall,191 W. 12th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,CASH/BuckID,1st floor,"39.99640° N, 83.01239° W",,Drinks,Coca Cola,Picture
,Paterson Hall,191 W. 12th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,Cash/mastercard/visa/American Express/discover,1st floor,"39.99639° N, 83.01239° W",,Snacks,Various,Picture
32,Physical Activities & Education Services (PAES),305 W 17th Ave,Columbus,43210,North Campus (Columbus),No,No,Normal,,,,,,,,,
33,Postle Hall,305 W 12th Ave,Columbus,43210,North Campus (Columbus),No,No,Normal,,,,,,,,,
,Science and Engineering Library (SEL),175 W. 18th Ave,Columbus,43210,North Campus (Columbus),No,No,Temporarily Unavailable,FALSE,,cash,By elevator on 1st floor,"40.00181° N, 83.01327° W",,Drinks,Coca Cola,Picture
,Science and Engineering Library (SEL),175 W. 18th Ave,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,Cash/visa/Apple Pay/discover/mastercard/google pay/American Express,By elevator on 1st floor,"40.00181° N, 83.01327° W",,Water,Dasani,Picture
34,Science and Engineering Library (SEL),175 W. 18th Ave,Columbus,43210,South Campus (Columbus),No,No,Normal,FALSE,,Cash/mastercard/visa/American Express/discover,By elevator on 1st floor,"40.00181° N, 83.01327° W",,Snacks,Various,Picture
35,Scott Laboratory,201 W. 19th Ave.,Columbus,43210,North Campus (Columbus),No,No,Temporarily Unavailable,TRUE,,Cash/BuckID/Visa/Apple Pay/Discover/Mastercard/GooglePay/AmEx,1st Floor Student Lounge,"40.00268° N, 83.01394° W",,Drinks,Coca Cola,Picture
,Scott Laboratory,201 W. 19th Ave.,Columbus,43210,North Campus (Columbus),No,No,Temporarily Unavailable,TRUE,,Cash/BuckID/Visa/Apple Pay/Discover/Mastercard/GooglePay/AmEx,1st Floor Student Lounge,"40.00268° N, 83.01394° W",,Drinks,Coca Cola,Picture
36,Siebert Hall,184 W. 11th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,,,,,,,,,
37,Smith-Steeb Hall,92 W. 11th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,Cash/visa/Apple Pay/discover/mastercard/google pay/American Express/BuckID,181,"39.99583° N, 83.00924° W",,Drinks,Coca Cola,Picture
,Smith-Steeb Hall,92 W. 11th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,TRUE,,Cash/visa/Apple Pay/discover/mastercard/google pay/American Express/BuckID,181,"39.99583° N, 83.00924° W",,Drinks,"Dasani, various",Picture
38,Taylor Tower,55 West Lane Avenue,Columbus,43210-1196,North Campus (Columbus),No,No,Normal,,,,,,,,,
39,University Hall,230 N Oval Mall,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,"VISA, BuckID, Apple Pay, discover, Mastercard, Google pay, American Express, debit",051,"40.00069° N, 83.01448° W",,Drinks,Coca Cola,Picture
,University Hall,230 N Oval Mall,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,"VISA, Apple Pay, discover, Mastercard, BuckID, Google pay, American Express, debit",051,"40.00069° N, 83.01448° W",,Drinks,"Vitamin water, Minute Maid lemonade, Dasani water",Picture
,University Hall,230 N Oval Mall,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,"Cash, debit, VISA, Apple Pay, discover, Mastercard, Google pay, American Express, union pay, BuckID",051,"40.00069° N, 83.01448° W",,Drinks,"Coca Cola, various",Picture
,University Hall,230 N Oval Mall,Columbus,43210,North Campus (Columbus),No,No,Normal,FALSE,,"Cash, debit, Mastercard, visa, American Express, discover",051,"40.00077° N, 83.01448° W",,Snacks,Various,Picture
40,Vet Med Academic Building,1900 Coffey Road,Columbus,43210,West Campus (Columbus),No,No,Normal,,,,,,,,,
41,Watts Hall,2041 College Rd,Columbus,43210,North Campus (Columbus),No,No,Normal,,,,,,,,,
42,Worthington Building,249 W. 10th Ave.,Columbus,43210,South Campus (Columbus),No,No,Normal,,,,,,,,,
